ros_time,msg_stamp,selected_mode,selected_wz,vesc_wz,livox_wz,livox_wz_raw,livox_bias_wz,vesc_weight,livox_weight,vesc_valid,livox_valid,fallback_used,vesc_header_stamp,livox_header_stamp,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1786618070.4933672,1786618070.4932256,vesc,0.00018948118077872315,0.00018948118077872315,nan,nan,0.01,1,0,1,0,0,1786618070.4932256,nan,-0.00016086117162459086,-0.001351594824809945,0.00018948118077872315,-0.053421918650712996,0.092718388939676544,9.6586253554444284
1786618070.5115106,1786618070.5109899,vesc,0.0012671622152814249,0.0012671622152814249,nan,nan,0.01,1,0,1,0,0,1786618070.5109899,nan,0.00089183595286464255,-0.0013544910124954062,0.0012671622152814249,-0.13299307104031666,0.08356574188737298,9.4995845912238792
1786618070.5300956,1786618070.5298209,vesc,0.00022019511334364655,0.00022019511334364655,nan,nan,0.01,1,0,1,0,0,1786618070.5298209,nan,0.0019695210185193849,0.00077885914584778699,0.00022019511334364655,-0.048744566197294503,0.054372310505478083,9.6681574868088092
1786618070.5548964,1786618070.5545688,vesc,-0.00088819985372397866,-0.00088819985372397866,nan,nan,0.01,1,0,1,0,0,1786618070.5545688,nan,-0.0012135582961138242,-0.001348698637124484,-0.00088819985372397866,-0.087511671585303041,0.08301065837272148,9.706103579130172
1786618070.5709174,1786618070.5706489,vesc,-0.0019380303089636616,-0.0019380303089636616,nan,nan,0.01,1,0,1,0,0,1786618070.5706489,nan,-0.00013587375060773214,-0.00028060875362378264,-0.0019380303089636616,-0.076190703287101869,0.088199477764668188,9.5577480172499918
1786618070.6019759,1786618070.6015637,vesc,0.00016449369474328318,0.00016449369474328318,nan,nan,0.01,1,0,1,0,0,1786618070.6015637,nan,-0.0022912428416199163,-0.0013515272054853921,0.00016449369474328318,-0.039726935014691378,0.035083222325262398,9.7161151821985641
1786618070.6073956,1786618070.6068842,vesc,0.00020197492379644315,0.00020197492379644315,nan,nan,0.01,1,0,1,0,0,1786618070.6068842,nan,0.00090432992344739716,-0.0013516281143235711,0.00020197492379644315,-0.053141023880518112,0.11194284711161906,9.6347289534937772
1786618070.6303999,1786618070.6300039,vesc,-0.00087570614321554941,-0.00087570614321554941,nan,nan,0.01,1,0,1,0,0,1786618070.6300039,nan,-0.00014836720104183631,-0.0013487319266381099,-0.00087570614321554941,-0.10543457604243134,0.092874546149374737,9.6005309265659662
1786618070.6503096,1786618070.6499417,vesc,0.00021733189007890484,0.00021733189007890484,nan,nan,0.01,1,0,1,0,0,1786618070.6499417,nan,0.0019695210185193849,-0.00028640112899470504,0.00021733189007890484,-0.096360775042064084,0.083178327288727871,9.643725479881482
1786618070.6703911,1786618070.6700094,vesc,-0.00086711640840274296,-0.00086711640840274296,nan,nan,0.01,1,0,1,0,0,1786618070.6700094,nan,-0.00014836720104183631,0.0018470499381866669,-0.00086711640840274296,-0.099970718232467171,0.097818897098944646,9.5431241302776471
1786618070.690243,1786618070.6899376,vesc,0.0012364482176979203,0.0012364482176979203,nan,nan,0.01,1,0,1,0,0,1786618070.6899376,nan,-0.0012385462372793334,-0.0034849449831531381,0.0012364482176979203,-0.06350694996005668,0.030332542129915652,9.7014527036012623
1786618070.7101686,1786618070.7098975,vesc,0.00018661795751398149,0.00018661795751398149,nan,nan,0.01,1,0,1,0,0,1786618070.7098975,nan,-0.00016086117162459086,-0.0024168550996524372,0.00018661795751398149,-0.067116893150459767,0.12161346613014246,9.6010583454403786
1786618070.730299,1786618070.7299881,vesc,0.00020770137032592652,0.00020770137032592652,nan,nan,0.01,1,0,1,0,0,1786618070.7299881,nan,0.00090432992344739716,0.00077889243536141293,0.00020770137032592652,-0.096192229043672306,0.073636913469101728,9.6293296343293378
1786618070.7504277,1786618070.7500663,vesc,0.00017698743776100315,0.00017698743776100315,nan,nan,0.01,1,0,1,0,0,1786618070.7500663,nan,-0.0012260522666965789,-0.001351561535296319,0.00017698743776100315,-0.091346330591862035,0.064069589174007291,9.6245711700278207
1786618070.7701333,1786618070.7698586,vesc,0.0012296809537189744,0.0012296809537189744,nan,nan,0.01,1,0,1,0,0,1786618070.7698586,nan,-0.0023037368122026708,-0.0013543901036572276,0.0012296809537189744,-0.05877341855259921,0.078219742022945127,9.7064275148911747
1786618070.79004,1786618070.7898047,vesc,0.00018271388429048652,0.00018271388429048652,nan,nan,0.01,1,0,1,0,0,1786618070.7898047,nan,-0.0012260522666965789,0.00077896005468596581,0.00018271388429048652,-0.13299307104031666,0.10751586513412903,9.4996489105988076
1786618070.8101261,1786618070.8098543,vesc,-0.00087284285493222644,-0.00087284285493222644,nan,nan,0.01,1,0,1,0,0,1786618070.8098543,nan,-0.00014836720104183631,-0.00028347165179561784,-0.00087284285493222644,-0.039558398152574448,0.03991181667251098,9.7017590977145574
1786618070.8301528,1786618070.8298171,vesc,0.00016735691800802484,0.00016735691800802484,nan,nan,0.01,1,0,1,0,0,1786618070.8298171,nan,-0.0022912428416199163,-0.00028626693064290023,0.00016735691800802484,-0.11484545076703245,0.10249350866990881,9.5860754394116157
1786618070.8501956,1786618070.8498685,vesc,0.00020483814706118484,0.00020483814706118484,nan,nan,0.01,1,0,1,0,0,1786618070.8498685,nan,0.00090432992344739716,-0.00028636783948107899,0.00020483814706118484,-0.091514876590253813,0.083191044983315976,9.6389915738867558
1786618070.8701527,1786618070.8698494,vesc,0.00020483814706118484,0.00020483814706118484,nan,nan,0.01,1,0,1,0,0,1786618070.8698494,nan,0.00090432992344739716,-0.00028636783948107899,0.00020483814706118484,-0.07720192445980345,0.097547787279111731,9.6439886045970979
1786618070.8901477,1786618070.889879,vesc,0.0012614357687519416,0.0012614357687519416,nan,nan,0.01,1,0,1,0,0,1786618070.889879,nan,0.00089183595286464255,-0.003485012602477691,0.0012614357687519416,-0.11394658750240882,0.097909455855235805,9.5094277944742771
1786618070.9101477,1786618070.9099014,vesc,0.0012728886618109084,0.0012728886618109084,nan,nan,0.01,1,0,1,0,0,1786618070.9099014,nan,0.00089183595286464255,0.00077602953718957789,0.0012728886618109084,-0.063731665776212587,0.054231136786530243,9.720676010602574
1786618070.9301255,1786618070.9298854,vesc,0.00020197492379644315,0.00020197492379644315,nan,nan,0.01,1,0,1,0,0,1786618070.9298854,nan,0.00090432992344739716,-0.0013516281143235711,0.00020197492379644315,-0.12854043440305407,0.078698336644571043,9.5283657573395431
1786618070.9501262,1786618070.9498727,vesc,-0.00086034914442379708,-0.00086034914442379708,nan,nan,0.01,1,0,1,0,0,1786618070.9498727,nan,0.00091682389403015165,-0.00028350494130924384,-0.00086034914442379708,-0.062383361743002297,0.083280251570929664,9.6058004375373685
1786618070.9702404,1786618070.9699173,vesc,0.00021056459359066821,0.00021056459359066821,nan,nan,0.01,1,0,1,0,0,1786618070.9699173,nan,0.00090432992344739716,0.001844153750501206,0.00021056459359066821,-0.10143137103748057,0.059163994302341649,9.6675528846844827
1786618070.9906824,1786618070.9901834,vesc,-0.00086997969668606593,-0.00086997969668606593,nan,nan,0.01,1,0,1,0,0,1786618070.9901834,nan,-0.00014836720104183631,0.00078178966334417502,-0.00086997969668606593,-0.076696313873452659,0.1359838214754614,9.6009835010768256
1786618071.0101659,1786618071.0099125,vesc,0.0034071671554579135,0.0034071671554579135,nan,nan,0.01,1,0,1,0,0,1786618071.0099125,nan,0.0019320396269197719,-0.0024255114134924954,0.0034071671554579135,-0.11033664431200574,0.059318799343362372,9.6099636552600032
1786618071.0302434,1786618071.0299013,vesc,0.0012575316630191562,0.0012575316630191562,nan,nan,0.01,1,0,1,0,0,1786618071.0299013,nan,-0.00017335514220734541,-0.0002891974481392882,0.0012575316630191562,-0.07720192445980345,0.083177742567137614,9.6439500129721409
1786618071.0501115,1786618071.0498612,vesc,0.00020770137032592652,0.00020770137032592652,nan,nan,0.01,1,0,1,0,0,1786618071.0498612,nan,0.00090432992344739716,0.00077889243536141293,0.00020770137032592652,-0.081879276913221943,0.059253493250750466,9.6342494817897659
1786618071.0703452,1786618071.0699961,vesc,0.00018375473424923978,0.00018375473424923978,nan,nan,0.01,1,0,1,0,0,1786618071.0699961,nan,-0.00016086117162459086,-0.00348211641479223,0.00018375473424923978,-0.063282225007625925,0.044754078886931836,9.682332307599836
1786618071.0903001,1786618071.0899546,vesc,0.00017985066102574486,0.00017985066102574486,nan,nan,0.01,1,0,1,0,0,1786618071.0899546,nan,-0.0012260522666965789,-0.00028630022015652622,0.00017985066102574486,-0.10008307614054512,0.10737319306610615,9.5527287671192198
