it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1561400,0.5379,0.5379,-8.2442,-7.0334,0.0107,0.0000,0.3335,0.0115,0.0095,0.5886,10.00,0.200,0.850,1.100,0.0150,0.0844,0.0046,0.00146,0.00049,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
1561600,0.5379,0.5379,-8.1769,-7.0876,0.0111,0.0000,0.2489,0.0155,0.0233,0.6336,10.00,0.200,0.850,1.100,0.0152,0.0605,0.0056,0.00244,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00049,0.00220
1561800,0.5379,0.5379,-8.1769,-7.0876,0.0089,0.0000,0.3370,0.0142,0.0073,0.6195,10.00,0.200,0.850,1.100,0.0099,0.0818,0.0054,0.00146,0.00049,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00122,0.00195
1562000,0.5379,0.5379,-8.1769,-7.0876,0.0077,0.0000,0.1945,0.0189,0.0258,0.5161,10.00,0.200,0.850,1.100,0.0225,0.0646,0.0059,0.00146,0.00073,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00073,0.00244
1562200,0.5379,0.5379,-8.3260,-6.9216,0.0085,0.0000,0.2733,0.0151,0.0170,0.6757,10.00,0.200,0.850,1.100,0.0117,0.0930,0.0046,0.00220,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00146
1562400,0.5379,0.5379,-8.3260,-6.9216,0.0061,0.0000,0.1639,0.0201,0.0180,0.5656,10.00,0.200,0.850,1.100,0.0260,0.1137,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1562600,0.5379,0.5379,-8.3069,-7.0455,0.0074,0.0000,0.2202,0.0158,0.0067,0.6699,10.00,0.200,0.850,1.100,0.0256,0.0809,0.0039,0.00073,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00171
1562800,0.5379,0.5379,-8.3069,-7.0455,0.0112,0.0000,0.2414,0.0178,0.0820,0.4972,10.00,0.200,0.850,1.100,0.0210,0.0627,0.0054,0.00073,0.00073,0.00000,0.00049,0.00000,0.00000,0.00049,0.00000,0.00098,0.00195
1563000,0.5379,0.5379,-8.3069,-7.0455,0.0119,0.0000,0.2996,0.0171,0.0195,0.6322,10.00,0.200,0.850,1.100,0.0215,0.0908,0.0039,0.00146,0.00024,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00098,0.00073
1563200,0.5379,0.5379,-8.3062,-7.1836,0.0098,0.0000,0.2365,0.0072,0.0170,0.5756,10.00,0.200,0.850,1.100,0.0104,0.0757,0.0059,0.00269,0.00049,0.00000,0.00073,0.00000,0.00000,0.00000,0.00024,0.00049,0.00122
1563400,0.5379,0.5379,-8.3062,-7.1836,0.0084,0.0000,0.1718,0.0115,0.0234,0.7418,10.00,0.200,0.850,1.100,0.0189,0.0618,0.0056,0.00195,0.00000,0.00000,0.00049,0.00000,0.00000,0.00073,0.00000,0.00000,0.00244
1563600,0.5379,0.5379,-8.2327,-7.3202,0.0078,0.0000,0.2039,0.0145,0.0139,0.6761,10.00,0.200,0.850,1.100,-0.0022,0.0811,0.0063,0.00269,0.00146,0.00000,0.00049,0.00000,0.00000,0.00000,0.00024,0.00122,0.00049
1563800,0.5379,0.5379,-8.2327,-7.3202,0.0111,0.0000,0.2826,0.0272,0.0319,0.6100,10.00,0.200,0.850,1.100,0.0374,0.0828,0.0032,0.00073,0.00049,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171
1564000,0.5379,0.5379,-8.2327,-7.3202,0.0156,0.0000,0.2723,0.0363,0.0289,0.6042,10.00,0.200,0.850,1.100,0.0209,0.0826,0.0049,0.00220,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00073,0.00146
1564200,0.5379,0.5379,-8.2418,-7.1697,0.0088,0.0000,0.1253,0.0103,0.0212,0.7879,10.00,0.200,0.850,1.100,0.0264,0.1184,0.0005,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
