it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
8800,0.5379,0.5379,-7.7275,-7.7027,0.0138,0.0000,0.2816,0.0134,0.0002,0.2568,6.12,0.102,0.700,0.950,-0.0113,-0.0136,0.0059,0.00171,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00098
9000,0.5379,0.5379,-7.7275,-7.7027,0.0166,0.0000,0.3070,0.0140,0.0001,0.2992,6.12,0.102,0.700,0.950,0.0201,0.0205,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9200,0.5379,0.5379,-7.6228,-7.5830,0.0134,0.0000,0.3206,0.0142,0.0000,0.2806,6.12,0.102,0.700,0.950,-0.0009,-0.0232,0.0061,0.00098,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00073
9400,0.5379,0.5379,-7.6228,-7.5830,0.0128,0.0000,0.3148,0.0142,0.0224,0.2612,6.13,0.102,0.700,0.950,-0.0052,-0.0161,0.0054,0.00171,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00049
9600,0.5379,0.5379,-7.6158,-7.4192,0.0115,0.0000,0.2991,0.0158,0.0212,0.2464,6.13,0.102,0.700,0.950,-0.0125,-0.0200,0.0061,0.00098,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00049
9800,0.5379,0.5379,-7.6158,-7.4192,0.0148,0.0000,0.3216,0.0204,0.0053,0.2988,6.13,0.102,0.700,0.950,-0.0140,-0.0155,0.0071,0.00244,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00073
10000,0.5379,0.5379,-7.6158,-7.4192,0.0132,0.0000,0.3111,0.0153,0.0045,0.2774,6.13,0.103,0.700,0.950,-0.0155,-0.0167,0.0071,0.00195,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
10200,0.5379,0.5379,-7.5891,-7.4672,0.0125,0.0000,0.2775,0.0155,0.0000,0.2693,6.14,0.103,0.700,0.950,-0.0095,-0.0149,0.0051,0.00146,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073
10400,0.5379,0.5379,-7.5891,-7.4672,0.0150,0.0000,0.2847,0.0149,0.0031,0.2837,6.14,0.103,0.700,0.950,-0.0199,-0.0080,0.0059,0.00171,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00024
10600,0.5379,0.5379,-7.5450,-7.4457,0.0126,0.0000,0.3139,0.0200,0.0000,0.2566,6.14,0.103,0.700,0.950,-0.0171,-0.0084,0.0061,0.00195,0.00220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00098
10800,0.5379,0.5379,-7.5450,-7.4457,0.0124,0.0000,0.2923,0.0205,0.0000,0.2821,6.14,0.103,0.700,0.950,0.0219,0.0224,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11000,0.5379,0.5379,-7.5450,-7.4457,0.0191,0.0000,0.2683,0.0222,0.0000,0.2682,6.15,0.103,0.700,0.950,-0.0202,0.0006,0.0056,0.00269,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
11200,0.5379,0.5379,-7.5009,-7.4111,0.0183,0.0000,0.3153,0.0215,0.0000,0.2722,6.15,0.103,0.700,0.950,-0.0212,0.0079,0.0054,0.00317,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00049
11400,0.5379,0.5379,-7.5009,-7.4111,0.0168,0.0000,0.2916,0.0204,0.0000,0.2865,6.15,0.103,0.700,0.950,-0.0229,0.0004,0.0071,0.00391,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00098
11600,0.5379,0.5379,-7.4682,-7.2451,0.0187,0.0000,0.2781,0.0234,0.0000,0.2848,6.15,0.103,0.700,0.950,-0.0244,0.0144,0.0051,0.00269,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00000
11800,0.5379,0.5379,-7.4682,-7.2451,0.0180,0.0000,0.3028,0.0245,0.0000,0.2790,6.16,0.103,0.700,0.950,-0.0130,0.0157,0.0039,0.00293,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00049
12000,0.5379,0.5379,-7.4682,-7.2451,0.0238,0.0000,0.2885,0.0163,0.0000,0.2569,6.16,0.103,0.700,0.950,-0.0076,0.0120,0.0039,0.00146,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00073
12200,0.5379,0.5379,-7.4007,-7.3872,0.0250,0.0000,0.2876,0.0169,0.0000,0.2936,6.16,0.103,0.700,0.950,-0.0094,0.0168,0.0032,0.00244,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00024
12400,0.5379,0.5379,-7.4007,-7.3872,0.0226,0.0000,0.2371,0.0187,0.0000,0.2654,6.17,0.103,0.700,0.950,-0.0121,-0.0007,0.0068,0.00171,0.00171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00195
12600,0.5379,0.5379,-7.3205,-7.5474,0.0238,0.0000,0.2594,0.0147,0.0000,0.2612,6.17,0.103,0.700,0.950,0.0206,0.0223,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12800,0.5379,0.5379,-7.3205,-7.5474,0.0236,0.0000,0.2864,0.0174,0.0000,0.2845,6.17,0.103,0.700,0.950,-0.0021,0.0093,0.0034,0.00146,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00122
13000,0.5379,0.5379,-7.3205,-7.5474,0.0183,0.0000,0.3259,0.0150,0.0000,0.2820,6.17,0.103,0.700,0.950,-0.0041,0.0125,0.0032,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00122
13200,0.5379,0.5379,-7.3505,-7.4720,0.0232,0.0000,0.2786,0.0181,0.0000,0.2257,6.18,0.103,0.700,0.950,-0.0039,-0.0008,0.0056,0.00171,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00220
13400,0.5379,0.5379,-7.3505,-7.4720,0.0314,0.0000,0.3200,0.0171,0.0000,0.2587,6.18,0.103,0.700,0.950,-0.0057,0.0074,0.0049,0.00220,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00146
13600,0.5379,0.5379,-7.3744,-7.5144,0.0221,0.0000,0.3052,0.0177,0.0000,0.2890,6.18,0.103,0.700,0.950,0.0038,0.0075,0.0032,0.00049,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00049
13800,0.5379,0.5379,-7.3744,-7.5144,0.0185,0.0000,0.2778,0.0176,0.0000,0.2477,6.18,0.103,0.700,0.950,0.0037,0.0101,0.0024,0.00098,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00049
14000,0.5379,0.5379,-7.3744,-7.5144,0.0185,0.0000,0.2688,0.0212,0.0000,0.2503,6.19,0.104,0.700,0.950,-0.0011,0.0097,0.0039,0.00146,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
14200,0.5379,0.5379,-7.3376,-7.4156,0.0230,0.0000,0.2742,0.0167,0.0005,0.3081,6.19,0.104,0.700,0.950,-0.0083,0.0017,0.0066,0.00293,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00098
14400,0.5379,0.5379,-7.3376,-7.4156,0.0197,0.0000,0.2722,0.0204,0.0000,0.2077,6.19,0.104,0.700,0.950,0.0236,0.0247,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14600,0.5379,0.5379,-7.4414,-7.3235,0.0223,0.0000,0.3156,0.0147,0.0000,0.2080,6.19,0.104,0.700,0.950,0.0053,0.0155,0.0027,0.00146,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00024
14800,0.5379,0.5379,-7.4414,-7.3235,0.0143,0.0000,0.3034,0.0162,0.0000,0.2739,6.20,0.104,0.700,0.950,0.0013,0.0074,0.0044,0.00171,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
15000,0.5379,0.5379,-7.4414,-7.3235,0.0243,0.0000,0.2443,0.0145,0.0000,0.2453,6.20,0.104,0.700,0.950,0.0018,0.0059,0.0046,0.00146,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00171
15200,0.5379,0.5379,-7.4528,-7.4255,0.0193,0.0000,0.3016,0.0312,0.0000,0.2120,6.20,0.104,0.700,0.950,0.0021,0.0132,0.0034,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00098
15400,0.5379,0.5379,-7.4528,-7.4255,0.0150,0.0000,0.3364,0.0206,0.0000,0.2204,6.21,0.104,0.700,0.950,0.0101,0.0094,0.0024,0.00049,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00049
15600,0.5379,0.5379,-7.4260,-7.4150,0.0204,0.0000,0.2648,0.0198,0.0000,0.2401,6.21,0.104,0.700,0.950,0.0078,0.0065,0.0034,0.00024,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
15800,0.5379,0.5379,-7.4260,-7.4150,0.0173,0.0000,0.2388,0.0156,0.0000,0.1999,6.21,0.104,0.700,0.950,0.0017,0.0076,0.0042,0.00049,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00098
16000,0.5379,0.5379,-7.4260,-7.4150,0.0239,0.0000,0.2649,0.0179,0.0000,0.2049,6.21,0.104,0.700,0.950,0.0115,0.0046,0.0027,0.00000,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00146
16200,0.5379,0.5379,-7.3375,-7.4921,0.0136,0.0000,0.2729,0.0131,0.0000,0.2242,6.22,0.104,0.700,0.950,0.0211,0.0224,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16400,0.5379,0.5379,-7.3375,-7.4921,0.0203,0.0000,0.2588,0.0144,0.0000,0.2408,6.22,0.104,0.700,0.950,0.0013,0.0135,0.0024,0.00122,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00049
16600,0.5379,0.5379,-7.4162,-7.3733,0.0213,0.0000,0.2517,0.0204,0.0000,0.2227,6.22,0.104,0.700,0.950,0.0054,0.0042,0.0032,0.00049,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00049
16800,0.5379,0.5379,-7.4162,-7.3733,0.0199,0.0000,0.2600,0.0173,0.0000,0.2182,6.22,0.104,0.700,0.950,-0.0019,0.0062,0.0042,0.00098,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
17000,0.5379,0.5379,-7.4162,-7.3733,0.0200,0.0000,0.2467,0.0187,0.0000,0.2264,6.23,0.104,0.700,0.950,-0.0037,0.0160,0.0024,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00024
17200,0.5379,0.5379,-7.3819,-7.4685,0.0178,0.0000,0.2348,0.0143,0.0000,0.2482,6.23,0.104,0.700,0.950,-0.0041,0.0122,0.0032,0.00073,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00049
17400,0.5379,0.5379,-7.3819,-7.4685,0.0217,0.0000,0.2391,0.0196,0.0000,0.1892,6.23,0.104,0.700,0.950,-0.0035,0.0112,0.0027,0.00146,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00073
17600,0.5379,0.5379,-7.4105,-7.4418,0.0266,0.0000,0.2386,0.0175,0.0000,0.1948,6.23,0.104,0.700,0.950,0.0032,0.0116,0.0017,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00024
17800,0.5379,0.5379,-7.4105,-7.4418,0.0236,0.0000,0.2077,0.0173,0.0000,0.2097,6.24,0.104,0.700,0.950,-0.0056,0.0027,0.0042,0.00073,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00098
18000,0.5379,0.5379,-7.4105,-7.4418,0.0205,0.0000,0.2349,0.0184,0.0000,0.2202,6.24,0.105,0.700,0.950,0.0233,0.0251,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18200,0.5379,0.5379,-7.3248,-7.4412,0.0191,0.0000,0.2253,0.0175,0.0000,0.2254,6.24,0.105,0.700,0.950,-0.0006,0.0122,0.0017,0.00024,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00024
18400,0.5379,0.5379,-7.3248,-7.4412,0.0177,0.0000,0.2436,0.0179,0.0000,0.2175,6.25,0.105,0.700,0.950,-0.0057,-0.0001,0.0044,0.00073,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
18600,0.5379,0.5379,-7.2845,-7.4658,0.0229,0.0000,0.2020,0.0157,0.0000,0.2414,6.25,0.105,0.700,0.950,-0.0050,0.0080,0.0032,0.00073,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00098
18800,0.5379,0.5379,-7.2845,-7.4658,0.0205,0.0000,0.2229,0.0160,0.0000,0.2258,6.25,0.105,0.700,0.950,-0.0094,0.0056,0.0039,0.00098,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00098
19000,0.5379,0.5379,-7.2845,-7.4658,0.0193,0.0000,0.2123,0.0183,0.0000,0.2052,6.25,0.105,0.700,0.950,-0.0043,0.0073,0.0027,0.00098,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00049
19200,0.5379,0.5379,-7.3528,-7.4750,0.0218,0.0000,0.1800,0.0134,0.0148,0.2140,6.26,0.105,0.700,0.950,-0.0027,0.0075,0.0020,0.00049,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00073
19400,0.5379,0.5379,-7.3528,-7.4750,0.0247,0.0000,0.2032,0.0172,0.0373,0.2019,6.26,0.105,0.700,0.950,-0.0038,0.0132,0.0024,0.00049,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00098
